"id","name","identifier","type","address","maps","date_joined","date_created","date_updated","razon_social"
"70","TECAMAC","T277","FORANEA","CALLE JOAQUIN AMARO , , ,SAN PEDRO ASONPA  ,55770 ,EDO. DE MÉXICO ,EDO. DE MÉXICO","https://goo.gl/maps/TANVbeXQQ5kVybh1A","2023-09-13","2024-10-03 23:26:07.434108+00","2023-09-13 08:31:24.722275+00","ASTURIANO"
"71","CIPRESCES","T275","FORANEA","CAMINO A RANCHO ALEGRE ,32 , ,SAN PEDRO AHUACATLÁN ,76810 ,SAN JUAN DEL RÍO ,QUERÉTARO","https://goo.gl/maps/bGpdUAGhHzudesbo8","2023-09-13","2024-10-03 23:26:09.075319+00","2023-09-13 08:31:24.79246+00","ASTURIANO"
"72","ACTOPAN 5","T270","FORANEA","ACTOPAN - TULA  ,5.5 , ,SAN ANTONIO ZARAGOZA ,42650 ,SAN SALVADOR ,HIDALGO","https://goo.gl/maps/hzm8efVdYQP2","2023-09-13","2024-10-03 23:26:08.088684+00","2023-09-13 08:31:24.866924+00","ASTURIANO"
"73","BP SATELITE","T214","FORANEA","PERIFERICO BLVD. MANUEL AVILA CAMACHO ,1810 , ,COL. CD SATELITE ,53130 ,NAUCALPAN DE JUAREZ ,EDO. DE MEXICO","https://goo.gl/maps/Vz8YsFfGFsw","2023-09-13","2024-10-03 23:26:26.690696+00","2023-09-13 08:31:24.941348+00","ASTURIANO"
"74","LA NACION","T208","FORANEA","BLVD. DE LA NACIÓN ,240 , ,DESARROLLO CENTRO SYR ,76132 ,QUERÉTARO ,QUERÉTARO","https://goo.gl/maps/ink99K8E54N2","2023-09-13","2024-10-03 23:26:29.960628+00","2023-09-13 08:31:25.017046+00","ASTURIANO"
"75","ES CERRO GORDO","T207","FORANEA","AV. UNIVERSIDAD   ,364 , ,BANTHI ,76806 ,SAN JUAN DEL RÍO ,QUERÉTARO","https://goo.gl/maps/Gt3GMRmcK1xTz2f28","2023-09-13","2024-10-03 23:26:09.141026+00","2023-09-13 08:31:25.083664+00","ASTURIANO"
"76","LA VENTA","T203","FORANEA","CARRETERA ESTATAL ,431   KM. 13+561.28 , ,COMUNIDAD LA VENTA  ,76707 ,PEDRO ESCOBEDO ,QUERÉTARO","https://goo.gl/maps/uZDqKFehTHz","2023-09-13","2024-10-03 23:26:25.643552+00","2023-09-13 08:31:25.159485+00","ASTURIANO"
"77","CUAUTITLAN","T189","FORANEA","AV. TEYAHUALCO ,588 , ,LA VIRGEN ,54850 ,CUAUTITLÁN ,EDO. DE MÉXICO","https://goo.gl/maps/ySaTTK5ehFq","2023-09-13","2024-10-03 23:26:07.499011+00","2023-09-13 08:31:25.227566+00","ASTURIANO"
"78","CUMBRIA","T188","FORANEA","MEXICALZINGO ,2 ,Lte 25 Mza 43 ,CUMBRIA ,54740 ,CUAUTITLAN IZCALLI ,EDO. DE MÉXICO","https://goo.gl/maps/2FdB7Pz4SHR2","2023-09-13","2024-10-03 23:26:09.010685+00","2023-09-13 08:31:25.30469+00","ASTURIANO"
"79","JUAREZ","T186","FORANEA","BENITO JUÁREZ ,127 , ,CENTRO ,76650 ,EZEQUIEL MONTES ,QUERÉTARO","https://goo.gl/maps/pQUaw3n219z","2023-09-13","2024-10-03 23:26:08.289351+00","2023-09-13 08:31:25.382549+00","ASTURIANO"
"80","EZEQUIEL MONTES","T180","FORANEA","HEROICO COLEGIO MILITAR ,525 ,A ,LAS COLORADAS ,76666 ,EZEQUIEL MONTES ,QUERÉTARO","https://goo.gl/maps/12kXmv9Afzz","2023-09-13","2024-10-03 23:26:08.419895+00","2023-09-13 08:31:25.453405+00","ASTURIANO"
"81","COPACE","T175","FORANEA","AUTOPISTA MÉXICO QUERÉTARO ,s/n , ,VALLE DE LA HACIENDA ,54720 ,CUAUTITLAN IZCALLI ,EDO. DE MÉXICO","https://goo.gl/maps/5NCKvfKBWyo","2023-09-13","2024-10-03 23:26:09.535182+00","2023-09-13 08:31:25.521608+00","ASTURIANO"
"82","SAN MIGUEL DE ALLENDE 2","T158","FORANEA","LIBRAMIENTO JOSE MANUEL ZAVALA ZAVALA ,45 , ,COL. MEXIQUITO ,37717 ,SAN MIGUEL DE ALLENDE ,GUANAJUATO","https://goo.gl/maps/o1gHC51NrdF2","2023-09-13","2024-10-03 23:26:09.604535+00","2023-09-13 08:31:25.591627+00","ASTURIANO"
