"id","econ_number","model","brand","color","circulation_card_number","insurance_company","insurance_code","serial_number","license_plate","year","insurance","circulation_card","sua","unit_type","permiso_sct","conf_vehicular","performance","status","fumigation_certified","verificacion_fisico_mecanica","verificacion_de_emisiones","initial_milage","current_milage","photo_1","photo_2","photo_3","photo_4","photo_5","photo_6","fumigation_expiration","insurance_expiration","system","observations","current_state","date_joined","date_created","date_updated","supplier_id","is_rent"
"56","EQ-07-001F","2001","RENAULT","Sin color",NULL,"HDEI","001",NULL,"718AT5",2001,"","","","UNIDAD 5 TN",NULL,"C2","0","Activa","","","",NULL,NULL,"","","","","","",NULL,NULL,"QRO",NULL,"Queretaro de Arteaga","2023-07-19","2023-07-26 18:23:32.102544+00","2023-07-19 08:40:39.307279+00",NULL,False
"57","EQ-012-001B","NISSAN","NISSAN","Sin color",NULL,"QUALITAS","830296319","","69AT1P",2006,"","","","UNIDAD 1 TN","","VL","0","Activa","","","",NULL,NULL,"","","","","","",NULL,NULL,"QRO","UNIDAD ESTAQUITAS","Queretaro de Arteaga","2023-07-19","2023-09-18 09:06:57.29136+00","2023-07-19 08:40:39.697288+00","14",False
"58","ECO-11-009","2001","Freightliner","Sin color",NULL,"HDI","001",NULL,"63AS7Z",2001,"","","","TRACTO",NULL,"T3S2","0","Activa","","","",NULL,NULL,"","","","","","",NULL,NULL,"QRO",NULL,"Queretaro de Arteaga","2023-07-19","2023-07-26 18:23:39.374814+00","2023-07-19 08:40:40.182404+00",NULL,False
"59","ECO-11-010","2005","International","Sin color",NULL,"HDI","001",NULL,"128WA7",2005,"","","","CAJA 48’",NULL,"CTR007","0","Activa","","","",NULL,NULL,"","","","","","",NULL,NULL,"QRO",NULL,"Queretaro de Arteaga","2023-07-19","2023-07-26 18:23:46.126997+00","2023-07-19 08:40:40.593868+00",NULL,False
"60","EQ-010-001B","Hylux","Toyota","Sin color",NULL,"Qualytas","830309523","MR0EX8CB7G1392980","SV7783B",2016,"","","","UNIDAD 1 TN","","VL","0","Activa","","","",NULL,NULL,"","","","","","",NULL,NULL,"QRO","","Queretaro de Arteaga","2023-07-19","2023-09-18 09:06:57.222522+00","2023-07-19 08:40:41.056503+00","12",False
"61","EQ-005-008I","2009","INTERNATIONAL","Sin color",NULL,"AXA","140236198000","","39UD8X",2009,"","","","CAJA","","CTR007","0","Activa","","","",NULL,NULL,"","","","","","",NULL,NULL,"QRO","","Queretaro de Arteaga","2023-07-19","2023-09-18 09:06:57.155812+00","2023-07-19 08:40:41.529498+00","7",False
"62","ECO-11-002","2011","Kentworth","Sin color",NULL,"Hdi","001",NULL,"29AB5Y",2011,"","","","TRACTO",NULL,"T3S2","0","Activa","","","",NULL,NULL,"","","","","","",NULL,NULL,"QRO",NULL,"Queretaro de Arteaga","2023-07-19","2023-07-26 18:23:53.834757+00","2023-07-19 08:40:41.966146+00",NULL,False
"63","ECO-11-003","2006","International","Sin color",NULL,"Hdi","001",NULL,"52UB9A",2006,"","","","CAJA 48’",NULL,"CTR007","0","Activa","","","",NULL,NULL,"","","","","","",NULL,NULL,"QRO",NULL,"Queretaro de Arteaga","2023-07-19","2023-07-26 18:24:09.988842+00","2023-07-19 08:40:42.351979+00",NULL,False
"64","EQ-008-010T","2004","KENTWORTH","Sin color",NULL,"HDI","001",NULL,"147DC9",2004,"","","","TRACTO",NULL,"T3S2","0","Activa","","","",NULL,NULL,"","","","","","",NULL,NULL,"QRO",NULL,"Queretaro de Arteaga","2023-07-19","2023-09-18 09:06:57.088985+00","2023-07-19 08:40:42.742959+00","10",False
"65","EQ-06-004","2009","INTERNATIONAL","Sin color",NULL,"HDI","001",NULL,"393XP3",2009,"","","","CAJA 53’",NULL,"CTR007","0","Activa","","","",NULL,NULL,"","","","","","",NULL,NULL,"QRO",NULL,"Queretaro de Arteaga","2023-07-19","2023-07-26 18:24:18.574026+00","2023-07-19 08:40:43.136303+00",NULL,False
